Designator,Manufacturer,Mfr P/N,Description,Qty,Unit Cost USD,Notes
U1,NXP Semiconductors,SE050C2HQ1/Z01V,"Secure Element, CC EAL6+, I2C, secp256k1/r1 + Ed25519, HVQFN20",1,3.80,"Mouser/DigiKey stock. Lead time historically 16-32wk; second-source ST31N600 under NDA. VERIFY Q3-2026 lead time."
U2,Nordic Semiconductor,NRF52840-QIAA-R,"BLE5 + USB MCU, Cortex-M4F, 1MB Flash, 256kB RAM, aQFN73",1,5.20,"Chip variant. Switch to Raytac MDBT50Q-1MV2 module if pre-cert path chosen at EVT-1 (BOM +USD 2.50, NRE -USD 8k)."
U3,Texas Instruments,BQ25180YBGR,"Linear Li-ion charger + fuel gauge, I2C, ship-mode, DSBGA-9",1,0.85,"Required for I2C SoC + ship-mode. Fallback TP4056 (charger only) if on allocation."
U4,Texas Instruments,TPS62840DLCR,"60nA Iq synchronous buck 3.3V, 750mA, SOT583",1,0.95,"Main 3V3 rail. Verify Q2-2026 lead time (was on allocation 2024)."
U5,Diodes Incorporated,AP2112K-1.8TRG1,"1.8V LDO 600mA SOT25",1,0.18,"DNP in v1 BOM, footprint reserved for future SE swap requiring 1V8."
U6,Nexperia,PRTR5V0U2X,"2-channel ESD protection for USB D+/D-, SOT143",1,0.12,"On USB data lines, place within 5mm of USB-C connector."
U7,Texas Instruments,TXB0104PWR,"4-bit level translator, TSSOP14",1,0.45,"For e-ink VDDIO compatibility margin; DNP if SSD1681 tolerates direct 3V3."
DISP1,GoodDisplay,GDEW0154M09,"1.54in e-paper 200x200, SPI, SSD1681, 24-pin FPC",1,5.50,"Catalog FPC length, do not customize to keep MOQ low. WaveShare 1.54 V2 is drop-in alternate."
BT1,EVE Energy,LP402025-200mAh,"LiPo 200mAh 3.7V, PCM, 2-pin Molex tail",1,2.30,"UL1642 + IEC62133 + UN38.3 from vendor. Insist on certs-in-hand at PVT."
J1,GCT,USB4105-GF-A,"USB-C 2.0 receptacle, 16-pin, mid-mount, SMT",1,0.55,"Mid-mount needs X-ray inspection on first 50. Amphenol 12401610E4#2A as alternate."
J2,Molex,53398-0271,"1.25mm pitch 2-pos battery wire-to-board, vertical SMT",1,0.18,"Mates with EVE battery tail."
ANT1,Johanson Technology,2450AT18A100E,"2.4GHz ceramic chip antenna, 0603",1,0.65,"Requires pi-network tune at EVT-2. Eliminated if MCU module variant selected."
